"titel","untertitel","location","location2","sticker","id"
"Citadels","","Kleine Spiele","Im Regal Erdgeschoss (Links)","C11","205398"
"Tempel des Schreckens","","Kleine Spiele","Im Regal Erdgeschoss (Links)","T4","206915"
"Pocket Ops","","Kleine Spiele","Im Regal Erdgeschoss (Links)","P8","216234"
"District Noir","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D15","216497"
"Solaris","","Große Spiele","Im Regal Erdgeschoss (Links)","S20","219359"
"Kriss Kross","","Kleine Spiele","Im Regal Erdgeschoss (Links)","K6","220988"
"Epic Spell Wars of the Battle Wizards","Melee at Murdershroom Marsh","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","13","221366"
"Decrypto","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D2","225694"
"Cat Lady","","Kleine Spiele","Im Regal Erdgeschoss (Links)","C8","228504"
"Time Arena","","Große Spiele","Im Regal Erdgeschoss (Links)","T12","229599"
"Druids","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D27","232417"
"Combo Fighter","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","6","236305"
"Klattschen","","Kleine Spiele","Im Regal Erdgeschoss (Links)","K3.1","237501"
"Hochspannung","","Kleine Spiele","Im Regal Erdgeschoss (Links)","H11","241036"
"Space Base","","Große Spiele","Im Regal Erdgeschoss (Links)","S22","242302"
"The Cat","","Kleine Spiele","Im Regal Erdgeschoss (Links)","T6.1","243437"
"The Mind","","Kleine Spiele","Im Regal Erdgeschoss (Links)","T8","244992"
"Word Slam Family","","Kleine Spiele","Im Regal Erdgeschoss (Links)","W11","245389"
"Tales of Glory","","Große Spiele","Im Regal Erdgeschoss (Links)","T4","246816"
"Trivial Pursuit","Friends","Große Spiele","Im Regal Erdgeschoss (Links)","T18","256214"
"Farben","","Kleine Spiele","Im Regal Erdgeschoss (Links)","F3","259005"
"Belratti","","Kleine Spiele","Im Regal Erdgeschoss (Links)","B7","259374"
"Wavelength","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","38","262543"
"Draftosaurus","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D24","264055"
"Tiny Towns","","Große Spiele","Im Regal Erdgeschoss (Links)","T15","265736"
"Similo","Tiere","Kleine Spiele","Im Regal Erdgeschoss (Links)","S14","268620"
"Dizzle","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D16","269199"
"The Castles of Burgundy","","Große Spiele","Im Regal Erdgeschoss (Links)","T8","271320"
"Letter Jam","","Kleine Spiele","Im Regal Erdgeschoss (Links)","L4","275467"
"Calico","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","45662","283155"
"Noch mal so gut!","","Kleine Spiele","Im Regal Erdgeschoss (Links)","N3","285894"
"Anubixx","","Kleine Spiele","Im Regal Erdgeschoss (Links)","A4","287693"
"Verkopft","","Kleine Spiele","Im Regal Erdgeschoss (Links)","V2","290713"
"Fika","","Kleine Spiele","Im Regal Erdgeschoss (Links)","F6","292914"
"Spicy","","Kleine Spiele","Im Regal Erdgeschoss (Links)","S19","299169"
"Top Ten","","Kleine Spiele","Im Regal Erdgeschoss (Links)","T16","300905"
"Seastead","","Kleine Spiele","Im Regal Erdgeschoss (Links)","S12","307656"
"Small World of Warcraft","","Große Spiele","Im Regal Erdgeschoss (Links)","S19","309630"
"Codex Naturalis","","Kleine Spiele","Im Regal Erdgeschoss (Links)","C15","314503"
"Quest","","Kleine Spiele","Im Regal Erdgeschoss (Links)","Q1","316287"
"Coyote","","Kleine Spiele","Im Regal Erdgeschoss (Links)","C19","317981"
"Biss 20","","Kleine Spiele","Im Regal Erdgeschoss (Links)","B9","318195"
"Witchstone","","Große Spiele","Im Regal Erdgeschoss (Links)","W5","318560"
"Das perfekte Wort","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D1","326112"
"Explorers","","Kleine Spiele","Im Regal Erdgeschoss (Links)","E5","330174"
"Dog Park","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","8","331401"
"Tofu God","","Kleine Spiele","Im Regal Erdgeschoss (Links)","T15","337835"
"Trails","","Kleine Spiele","Im Regal Erdgeschoss (Links)","T17.1","338628"
"Shinkansen","Zero-Kei","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","29","339614"
"Dog Lover","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D20","344839"
