"objectname","id","rating","numplays","weight","own","fortrade","want","wanttobuy","wanttoplay","prevowned","preordered","wishlist","wishlistpriority","wishlistcomment","comment","conditiontext","haspartslist","wantpartslist","collid","baverage","average","avgweight","rank","numowned","objecttype","originalname","minplayers","maxplayers","playingtime","maxplaytime","minplaytime","yearpublished","bggrecplayers","bggbestplayers","bggrecagerange","bgglanguagedependence","publisherid","imageid","year","language","other","itemtype","barcode","pricepaid","pp_currency","currvalue","cv_currency","acquisitiondate","acquiredfrom","quantity","privatecomment","invlocation","invdate","version_publishers","version_languages","version_yearpublished","version_nickname","BG","BH","BI","BJ","BK","BL","BM","BN","BO","BP","BQ","BR","BS","BT","BU","BV","BW","BX","BY","BZ","CA","CB","CC","CD","CE","CF"
"Clack!","117555","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110489630","5.52141","5.6898","1.0714","16712","766","thing","CLACK!","2","6","10","10","10","2019","2","3","4","3","3+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","AMIGO","German","2019","German edition 2019","","","","","","","","","","","","","","","","","","","","","","","",""
"Clever hoch Drei","316546","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110491750","6.67887","7.4952","2.4026","899","7150","thing","Clever Cubed","1","4","30","30","30","2020","1","2","3","4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Schmidt Spiele","German","2020","German edition","","","","","","","","","","","","","","","","","","","","","","",""
"Cluedo","130592","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110959406","5.67796","5.93798","1.4638","6117","8771","thing","Clue","2","6","40","40","40","2015","3","4","5","6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Hasbro","German","2015","Hasbro German edition","","","","","","","","","","","","","","","","","","","","","","",""
"Cluedo","1294","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","117947526","5.56771","5.67616","1.6472","10315","37776","thing","Clue","2","6","45","45","45","1992","3","4","5","6","4","5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Parker Spiele","German","1992","Parker German edition 1992","","","","","","","","","","","","","","","","","","","","","",""
"Cluedo: Harry Potter Edition","38026","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110595589","5.75015","6.23447","1.5745","4930","4738","thing","Clue: Harry Potter Edition","3","5","30","30","30","2020","3","4","5","4","5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Winning Moves International Ltd","German","2020","German white edition","","","","","","","","","","","","","","","","","","","","","","",""
"Codenames","178900","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110492662","7.4487","7.54218","1.2602","139","154119","thing","Codenames","2","8","15","15","15","2016","4","5","6","7","8","6","8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","Czech Games Edition Heidelberger Spieleverlag","German","2016","German second edition with SdJ nominee","","","","","","","","","","","","","","","","","","","","",""
"Codenames: Duett","224037","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110492078","7.26004","7.4381","1.3557","246","47354","thing","Codenames: Duet","2","2","30","30","15","2017","2","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","Asmodee Heidelberger Spieleverlag","German","2017","German edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Codenames: Pictures","198773","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","113526327","7.01462","7.18887","1.2393","446","39937","thing","Codenames: Pictures","2","8","15","15","15","2016","4","5","6","7","8","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Heidelberger Spieleverlag","German","2016","German edition","","","","","","","","","","","","","","","","","","","","","",""
"Codex Naturalis","314503","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110586860","6.62155","7.22992","1.7451","985","8657","thing","Codex Naturalis","1","4","30","30","20","2021","2","3","4","2","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","HUCH!","German","2021","German edition","","","","","","","","","","","","","","","","","","","","","","",""
"Color Brain","223742","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110658182","5.66618","6.30036","1","6373","1700","thing","Colourbrain","2","12","30","30","30","2019","3","4","5","6","7","8","9","10","11","12","4","6","8","9","10","12","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Game Factory","German","2019","German edition","","","","","","","","","","","",""
"Color Code","342211","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110496042","5.50608","5.9539","1","20641","118","thing","Color Code","2","6","30","30","30","2021","4","5","6","4","5","6","6+","","","","","","","standalone","","","","","","","","","","","","Chili Island","German","2021","German edition","","","","","","","","","","","","","","","","","","","","","",""
"Coloretto","5782","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110656285","6.82715","6.97915","1.2742","666","28527","thing","Coloretto","2","5","30","30","30","2003","2","3","4","5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE","English French German Italian","2003","ABACUSSPIELE multilingual edition","","","","","","","","","","","","","","","","","","","","","","",""
"Colt Express: Big Box","341504","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110492908","5.93443","7.83028","2.2857","0","1838","thing","Colt Express: Big Box","2","9","40","40","40","2022","3","4","5","6","7","8","9","4","5","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ludonaute","English French German Spanish","2022","ENG/FRE/GER/SPA edition","","","","","","","","","","","","","","","","","",""
"Combo Fighter","236305","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110491950","5.8262","6.92524","1.5263","4105","1148","thing","Combo Fighter","1","4","15","15","5","2020","2","3","4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Matagot","English French","2020","Matagot English/French edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Come Together","361025","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110492979","5.90503","7.47106","3.1818","3489","937","thing","Come Together","1","6","90","90","60","2023","1","2","3","4","5","6","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Skellig Games","German","2023","German edition","","","","","","","","","","","","","","","","","","","","",""
"Concept","147151","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111375330","6.60571","6.76035","1.3755","1012","33178","thing","Concept","4","12","40","40","40","2017","3","4","5","6","7","8","9","10","11","12","6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Repos Production","German","2017","German fifth edition","","","","","","","","","","","","","","","","",""
"Concordia","124361","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110493042","7.94254","8.09482","2.9919","24","46341","thing","Concordia","2","5","100","100","100","2017","2","3","4","5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","PD-Verlag","English German","2017","English/German third edition","","","","","","","","","","","","","","","","","","","","","","",""
"Connect Four","2719","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","113746566","5.01301","4.96056","1.1867","26423","13453","thing","Connect Four","2","2","10","10","10","1974","2","2","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Conspiracy: Abyss Universe","276042","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110491683","6.53526","7.23552","1.798","1150","5677","thing","Conspiracy: Abyss Universe","2","4","30","30","30","2019","2","3","4","2","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Bombyx","English French","2019","English/French edition (blue cover)","","","","","","","","","","","","","","","","","","","","","","",""
"Coral","343899","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110491808","5.7178","6.75863","1.4545","5418","914","thing","Coral","1","4","20","20","10","2022","1","2","3","4","1","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","2Tomatoes Games","English French German Spanish","2022","Multilingual edition","","","","","","","","","","","","","","","","","","","","","","",""
"La Cosa Nostra","151771","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110489303","6.40376","7.59022","2.6119","1425","3392","thing","La Cosa Nostra","3","5","90","90","90","2014","3","4","5","4","16+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Hard Boiled Games","German","2014","German edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Council of Shadows","368954","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111375560","5.97662","7.30749","3.1429","3018","1604","thing","Council of Shadows","1","4","90","90","60","2022","1","2","3","4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","alea","German","2022","German edition","","","","","","","","","","","","","","","","","","","","","","",""
"Coup","131357","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110747889","6.84387","6.98279","1.4094","646","80875","thing","Coup","2","6","15","15","15","2013","3","4","5","6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Heidelberger Spieleverlag","German","2013","German first edition","","","","","","","","","","","","","","","","","","","","","","",""
"Coyote","317981","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110489384","5.81131","6.81244","1.2222","4240","1446","thing","Coyote","3","6","25","25","15","2020","3","4","5","4","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","HeidelBÄR Games","German","2020","German edition","","","","","","","","","","","","","","","","","","","","","","",""
"Cranium","891","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117591793","5.57408","5.68128","1.419","9880","19209","thing","Cranium","4","99","60","60","60","1998","4","5","6","7","8","9","10","11","12","14","16","18","19","20","8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Die Crew: Mission Tiefsee","324856","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110488748","7.84639","8.1556","2.04","37","35287","thing","The Crew: Mission Deep Sea","2","5","20","20","20","2021","3","4","5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2021","German edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Die Crew: Reist gemeinsam zum 9. Planeten","284083","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110657215","7.66294","7.80576","1.9536","70","79464","thing","The Crew: The Quest for Planet Nine","2","5","20","20","20","2020","3","4","5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2020","German second edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Crime Zoom: Ein tödlicher Autor","321306","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110656490","5.56596","6.80916","1","10452","278","thing","Crime Zoom: A Deadly Writer","1","6","60","60","60","2021","1","2","3","2","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Aurora","German","2021","German edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Cryptid","246784","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115988131","7.17868","7.44686","2.2473","299","19859","thing","Cryptid","3","5","50","50","30","2022","3","4","5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Skellig Games","German","2022","German third edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Cthulhu: Death May Die","253344","0","0","0","0","0","0","0","0","0","0","0","4","","","","","","113306075","7.7077","8.18246","2.4622","58","21709","thing","Cthulhu: Death May Die","1","5","120","120","90","2019","1","2","3","4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CuBirds","245476","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110491699","6.56128","6.92374","1.3216","1091","10084","thing","CuBirds","2","5","20","20","20","2019","2","3","4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Board Game Circus","German","2019","German edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Da ist der Wurm drin","91671","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110661659","5.70416","6.41248","1","5650","1277","thing","Da ist der Wurm drin","2","4","20","20","15","2011","2","3","4","4","3–8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Zoch Verlag","English French German Italian","2011","Multilingual first edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Dampfross","539","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110495896","5.69826","6.21869","2.1795","5752","2014","thing","Dampfross","2","6","90","90","90","1984","3","4","5","6","4","5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Schmidt Spiele","German","1984","Schmidt German-only edition","","","","","","","","","","","","","","","","","","","","","",""
"Daybreak","334986","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","118039075","6.4025","7.79059","2.8936","1430","2872","thing","Daybreak","1","4","120","120","60","2023","1","2","3","4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dead of Winter: A Crossroads Game","150376","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110497831","7.30562","7.4658","3.0107","219","64930","thing","Dead of Winter: A Crossroads Game","2","5","120","120","60","2016","3","4","5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Plaid Hat Games","English","2016","English second edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Deckscape: Das Schicksal von London","230498","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110488387","5.82994","6.16183","2","4066","3678","thing","Deckscape: The Fate of London","1","6","60","60","60","2017","1","2","3","4","2","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE DV Games","German","2017","German edition","","","","","","","","","","","","","","","","","","","","","",""
"Deckscape: Der Test","218311","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111375706","6.11296","6.57834","1.6","2377","4470","thing","Deckscape: Test Time","1","6","90","90","30","2017","1","2","3","4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE","German","2017","German edition","","","","","","","","","","","","","","","","","","","","","","",""
"Deckscape: Hinter dem Vorhang","267735","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111376061","5.98055","6.88781","1.875","2993","2293","thing","Deckscape: Behind the Curtain","1","6","60","60","60","2019","1","2","3","4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE","German","2019","German edition","","","","","","","","","","","","","","","","","","","","","","",""
"Deckscape: Tokio Blackout","382609","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111375686","5.52845","6.25176","1","15144","310","thing","Deckscape: Tokyo Blackout","1","6","60","60","60","2023","1","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE DV Games","German","2023","German edition","","","","","","","","","","","","","","","","","","","","","","","","",""
"Decktective: Den Tod kann man nicht betrügen","361637","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110492623","5.58423","7.20641","1","9240","289","thing","Decktective: You Can't Cheat Death","1","6","60","60","60","2022","2","3","4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE","German","2022","German edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Décorum","344554","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110492531","6.33265","7.42232","1.9167","1597","3292","thing","Décorum","2","4","45","45","30","2023","2","3","4","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Skellig Games","German","2023","German edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Decrypto","225694","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110491978","7.54059","7.7688","1.8106","96","36417","thing","Decrypto","3","8","45","45","15","2020","4","5","6","7","8","4","6","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","Scorpion Masqué","German","2020","German edition 2020 with label Das Partyspiel #1","","","","","","","","","","","","","","","","","","","","",""
"Deep Blue","283649","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110655010","5.99397","6.69753","1.8824","2913","2637","thing","Deep Blue","2","5","45","45","45","2019","3","4","5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Days of Wonder","German","2019","German edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Deep Sea Adventure","169654","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110493527","6.7165","6.90604","1.1783","831","28887","thing","Deep Sea Adventure","2","6","30","30","30","2019","3","4","5","6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Oink Games","English French German Japanese","2019","Multilingual edition 2019","","","","","","","","","","","","","","","","","","","","","","",""
"DEJA-VU","217321","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110657157","5.77296","6.5787","1.0625","4646","1124","thing","Déjà Vu","2","6","15","15","15","2017","2","3","4","5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","AMIGO","German","2017","German edition","","","","","","","","","","","","","","","","","","","","","","",""
"Detective: Ein Krimi-Brettspiel – Erste Fälle","293531","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110488486","5.99239","6.88658","2.069","2922","3688","thing","Detective: A Modern Crime Board Game – Season One","1","5","120","120","90","2020","1","2","3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Pegasus Spiele Portal Games","German","2020","German edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Deutschland: Finden Sie Minden","28436","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111779498","5.61236","6.36108","1.5806","7907","586","thing","Deutschland: Finden Sie Minden","2","5","45","45","45","2007","2","3","4","5","3","4","12+","","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dinosaur Island","221194","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110656233","7.27208","7.56629","3.039","242","26399","thing","Dinosaur Island","1","4","120","120","90","2019","1","2","3","4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Feuerland Spiele","German","2019","German edition","","","","","","","","","","","","","","","","","","","","","","",""
"Dirty Pig","118410","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117071530","5.76219","6.14881","1.0556","4778","3820","thing","Dirty Pig","2","4","10","10","10","2012","2","3","4","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Disney Villainous: Böse Miene zum guten Spiel!","256382","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110496007","6.7185","6.95557","2.4817","828","46487","thing","Disney Villainous: The Worst Takes it All","2","6","120","120","45","2019","2","3","4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Ravensburger","German","2019","German edition","","","","","","","","","","","","","","","","","","","","","","","",""
"District Noir","216497","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110836374","6.17961","7.01917","1.26","2090","3445","thing","District Noir","2","2","20","20","10","2023","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Game Factory","French German","2023","German/French edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dixit: Disney Edition","381308","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110495905","6.02986","7.47736","1.1","2728","3449","thing","Dixit: Disney Edition","3","6","30","30","30","2023","4","5","6","6","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Libellud","German","2023","German edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Dixit: Mirrors","301112","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110661114","5.86291","7.8365","1","0","2236","thing","Dixit: Mirrors","3","6","30","30","20","2020","3","4","5","6","6","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Libellud","German","2020","German edition","","","","","","","","","","","","","","","","","","","","","","",""
"Dixit: Odyssey","92828","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110660822","7.17453","7.39912","1.1661","304","31016","thing","Dixit: Odyssey","3","12","30","30","30","2017","4","5","6","7","8","9","10","11","12","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Libellud","German","2017","German-only edition","","","","","","","","","","","","","","","","","",""
"Dizzle","269199","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110593460","6.02883","6.81798","1.3214","2734","2836","thing","Dizzle","1","4","30","30","30","2019","1","2","3","4","2","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Schmidt Spiele","German","2019","German edition","","","","","","","","","","","","","","","","","","","","","",""
"Do De Li Do","206939","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110488799","5.84509","6.51287","1.1111","3947","2365","thing","Do De Li Do","2","6","20","20","10","2016","2","3","4","5","6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Drei Magier Spiele","Dutch English French German Italian","2016","Multilingual first edition","","","","","","","","","","","","","","","","","","","","","",""
"Dobble Classic","63268","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110488804","6.38654","6.5561","1.03","1474","40357","thing","Spot it!","2","8","15","15","15","2021","2","3","4","5","6","7","4","5","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Asmodee","German","2021","Asmodee German edition","","","","","","","","","","","","","","","","","","","",""
"Dodelido Extreme","297892","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111778860","5.56248","6.59303","1.25","10734","431","thing","Dodelido Extreme","2","6","20","20","20","2020","3","4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Drei Magier Spiele","Dutch English French German Italian","2020","Multilingual edition","","","","","","","","","","","","","","","","","","","","","","","","",""
"DOG","2633","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110660376","5.86691","6.3436","1.4423","3772","3008","thing","DOG","2","6","45","45","45","2008","4","6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Schmidt Spiele","French German Italian","2008","Multilingual edition 2008","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dog Lover","344839","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110488788","5.9297","6.78228","1.7619","3324","2208","thing","Dog Lover","2","4","30","30","30","2022","2","3","4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Alderac Entertainment Group","English","2022","English edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Dog Park","331401","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110656213","6.29145","6.97057","2.1569","1715","6308","thing","Dog Park","1","4","80","80","40","2022","1","2","3","4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dominion (Second Edition)","209418","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110490479","7.37599","7.83813","2.1581","181","15322","thing","Dominion (Second Edition)","2","4","30","30","30","2016","2","3","4","2","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Don't L.L.A.M.A. Dice","325853","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110497724","5.88839","6.55862","1.12","3614","2683","thing","Don't L.L.A.M.A. Dice","2","6","20","20","20","2021","2","3","4","5","6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Doppelt so Clever","269210","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110593826","7.05117","7.4398","2.2778","417","16437","thing","Twice as Clever!","1","4","30","30","30","2019","1","2","3","4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Schmidt Spiele","German","2019","German edition","","","","","","","","","","","","","","","","","","","","","","",""
"Dorfromantik: The Board Game","370591","0","0","0","1","0","0","0","0","0","0","0","3","","and German Edition","","","","110658952","6.98632","7.66118","1.6625","479","12267","thing","Dorfromantik: The Board Game","1","6","60","60","30","2023","1","2","3","1","2","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Pegasus Spiele","English","2023","English edition","","","","","","","","","","","","","","","","","","","","","","",""
"Double Down","3337","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110497518","5.52362","5.63436","1.0588","16224","1682","thing","Double Down","2","8","30","30","30","1993","3","4","5","6","7","8","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DOUC Kids","370378","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111129116","5.52735","8.57936","1","15384","61","thing","DOUC Kids","1","6","15","15","15","2022","","","","","","","","","","standalone","","","","","","","","","","","","DOUC IN DANGER GmbH","English German","2022","English/German edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Downforce","215311","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110488988","7.03581","7.29802","1.7238","423","18883","thing","Downforce","2","6","40","40","20","2017","2","3","4","5","6","3","6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Draftosaurus","264055","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110489289","6.86562","7.10094","1.241","624","22597","thing","Draftosaurus","2","5","15","15","15","2019","2","3","4","5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dragon's Breath","235655","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110594951","5.97502","6.5695","1.0652","3025","3416","thing","Dragon's Breath","2","4","20","20","15","2017","2","3","4","3","4","4–10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DREBO","370136","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111288756","5.5028","6.04231","1.5","21416","83","thing","DREBO","2","4","30","30","15","2022","2","3","4","2","3","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","funbot","German","2022","German edition","","","","","","","","","","","","","","","","","","","","","",""
"Die drei ??? Labyrinth: Team Edition","416948","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","117299538","0","7","2","0","10","thing","Die drei ??? Labyrinth: Team Edition","2","4","40","40","30","2024","2","3","4","3","4","","","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Drop It","244916","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110497788","6.29549","6.89224","1.1","1699","4292","thing","Drop It","2","4","30","30","30","2018","2","3","4","2","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Druids","232417","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110489799","5.65446","6.46392","1.6667","6620","1048","thing","Druids","3","5","45","45","45","2017","3","4","5","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","AMIGO","German","2017","German edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Drunter & Drüber","19","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116302880","5.85853","6.27291","1.8242","3839","3658","thing","Wacky Wacky West","2","4","45","45","30","0","3","4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Hans im Glück","German","0","German third edition","","","","","","","","","","","","","","","","","","","","","","","","",""
